method,fidelity_vs_exact,energy_error,route_cost,gap_classical,time_s,chi
Statevector exacto,1.0,0.0,,,0.14727711900195573,
MPS sin truncación,1.0000000000000009,1.4597389963455498e-10,,,45.11203402701358,256.0
MPS chi=2,0.09919381980974337,2182.987734071009,,,0.33440143799816724,2.0
MPS chi=4,0.1832704741934689,1159.8692206254443,,,0.2841791469982127,4.0
MPS chi=8,0.4068067213511022,904.3513071869522,,,0.3353844529920025,8.0
MPS chi=16,0.6828795621128961,407.7188388062673,,,0.44136452800012194,16.0
MPS chi=32,0.896401698512084,142.53004219561512,,,7.642249017007998,32.0
MPS chi=64,0.985295486740327,25.2930792672023,,,22.994918759999564,64.0
MPS chi=128,0.9998012047574234,0.5295739027460513,,,52.59158720501,128.0
