clientes,qubits,statevector_amplitudes,mps_tensor_elements,compression_ratio,mps_fraction_percent,chi_max,mps_memory_GB_est,statevector_memory_GB
2,4,16,40,0.4,250.0,4,5.960464477539062e-07,2.384185791015625e-07
3,9,512,1192,0.42953020134228187,232.8125,16,1.7762184143066406e-05,7.62939453125e-06
4,16,65536,106152,0.6173788529655588,161.97509765625,128,0.0015817880630493164,0.0009765625
5,25,33554432,404136,83.0275748757844,1.2044191360473633,128,0.006022095680236816,0.5
6,36,68719476736,764584,89878.25632762391,0.001112616155296564,128,0.011393189430236816,1024.0
