clientes,qubits,depth,chi_limit,chi_real,fidelity,infidelity,energy_error,time_s
4,16,1,2,2,4.52580535471052e-05,0.9999547419464528,2198.6535300398928,0.27510230100597255
4,16,1,4,4,0.0002549584119314961,0.9997450415880685,1163.0508526517226,0.26342674100305885
4,16,1,8,8,0.00023915167154421818,0.9997608483284558,908.1918351890506,0.3011207109957468
4,16,1,16,16,0.0003947260386082421,0.9996052739613918,407.85271308024494,0.4003597509872634
4,16,1,32,32,0.0006494061858915492,0.9993505938141084,141.33991953571285,6.794851074999315
4,16,1,64,64,0.0004936677799521157,0.9995063322200479,23.519241387963802,25.79262398800347
4,16,1,128,128,0.0004992294968109094,0.9995007705031891,1.340676585555002,34.71085338899866
