clientes,qubits,depth,chi_limit,chi_real,chi_mean,mps_tensor_elements,statevector_amplitudes,compression_ratio,mps_fraction_percent,mps_memory_GB_est,time_mps_s
3,9,1,128,16,7.5,1192,512,0.42953020134228187,232.8125,1.7762184143066406e-05,0.10777070402400568
3,9,2,128,16,7.5,1192,512,0.42953020134228187,232.8125,1.7762184143066406e-05,0.142600127030164
3,9,3,128,16,7.5,1192,512,0.42953020134228187,232.8125,1.7762184143066406e-05,0.2105281229596585
3,9,4,128,16,7.5,1192,512,0.42953020134228187,232.8125,1.7762184143066406e-05,0.31609398301225156
3,9,5,128,16,7.5,1192,512,0.42953020134228187,232.8125,1.7762184143066406e-05,0.33336762501858175
