clientes,qubits,depth,chi_limit,chi_real,mps_tensor_elements,statevector_amplitudes,compression_ratio,mps_fraction_percent,mps_memory_GB_est,norm_exact,norm_MPS,overlap,fidelity,infidelity,energy_reference,energy_mps,energy_error,time_mps_s,time_exact_s,statevector_memory_GB
4,16,1,2,2,120,65536,546.1333333333333,0.18310546875,1.7881393432617188e-06,1.000000000000001,0.06127006879184077,0.3149505037458216,0.0991938198097468,0.9008061801902532,1592.746304858755,3775.734038929764,2182.987734071009,1.7505601160228252,0.3558147370349616,0.0009765625
4,16,1,4,4,424,65536,154.56603773584905,0.64697265625,6.318092346191406e-06,1.000000000000001,0.17175733517300096,0.42810100933480183,0.18327047419347609,0.8167295258065239,1592.746304858755,2752.615525484199,1159.8692206254443,0.2408541630138643,0.3558147370349616,0.0009765625
4,16,1,8,8,1448,65536,45.25966850828729,2.20947265625,2.1576881408691406e-05,1.000000000000001,0.37107590064882867,0.6378140178383629,0.4068067213511155,0.5931932786488845,1592.746304858755,2497.097612045707,904.3513071869522,0.3111029220162891,0.3558147370349616,0.0009765625
4,16,1,16,16,4776,65536,13.721943048576215,7.28759765625,7.11679458618164e-05,1.000000000000001,0.663947992337147,0.8263652716038533,0.6828795621129102,0.31712043788708977,1592.746304858755,2000.4651436650222,407.7188388062673,0.3708502159570344,0.3558147370349616,0.0009765625
4,16,1,32,32,15016,65536,4.364411294619073,22.91259765625,0.0002237558364868164,1.000000000000001,0.877182928839972,0.9467849272733966,0.8964016985120908,0.10359830148790916,1592.746304858755,1735.27634705437,142.53004219561512,6.094843005994335,0.3558147370349616,0.0009765625
4,16,1,64,64,43688,65536,1.5000915583226515,66.66259765625,0.0006510019302368164,1.000000000000001,0.9827630642565773,0.9926205149705142,0.9852954867403287,0.014704513259671259,1592.746304858755,1618.0393841259572,25.2930792672023,22.97127790300874,0.3558147370349616,0.0009765625
4,16,1,128,128,109224,65536,0.6000146487951366,166.66259765625,0.0016275644302368164,1.000000000000001,0.9997705528643042,0.9999005974382772,0.9998012047574236,0.00019879524257637726,1592.746304858755,1593.275878761501,0.5295739027460513,34.38150986196706,0.3558147370349616,0.0009765625
