chi_limit,chi_real,fidelity,energy_reference,energy_mps,energy_error,route,route_cost,gap_vs_classical,relative_gap,recovers_classical_optimum,route_probability,time_s
2,2,0.09919381980974337,1592.746304858755,3775.734038929764,2182.987734071009,None,,,,False,0.0,0.33440143799816724
4,4,0.1832704741934689,1592.746304858755,2752.615525484199,1159.8692206254443,None,,,,False,0.0,0.2841791469982127
8,8,0.4068067213511022,1592.746304858755,2497.097612045707,904.3513071869522,None,,,,False,0.0,0.3353844529920025
16,16,0.6828795621128961,1592.746304858755,2000.4651436650222,407.7188388062673,None,,,,False,0.0,0.44136452800012194
32,32,0.896401698512084,1592.746304858755,1735.27634705437,142.53004219561512,None,,,,False,0.0,7.642249017007998
64,64,0.985295486740327,1592.746304858755,1618.0393841259572,25.2930792672023,None,,,,False,0.0,22.994918759999564
128,128,0.9998012047574234,1592.746304858755,1593.275878761501,0.5295739027460513,None,,,,False,0.0,52.59158720501
