clientes,qubits,statevector_amplitudes,statevector_memory_GB,mps_tensor_elements,mps_memory_GB_est,compression_ratio,mps_fraction_percent,chi_max,chi_mean,mps_time_s,depth,chi_limit
2,4,16,2.384185791015625e-07,40,5.960464477539062e-07,0.4,250.0,4,2.6666666666666665,0.015045894018840045,1,128
3,9,512,7.62939453125e-06,1192,1.7762184143066406e-05,0.42953020134228187,232.8125,16,7.5,0.06554648699238896,1,128
4,16,65536,0.0009765625,106152,0.0015817880630493164,0.6173788529655588,161.97509765625,128,41.86666666666667,10.328371903975494,1,128
5,25,33554432,0.5,404136,0.006022095680236816,83.0275748757844,1.2044191360473633,128,74.5,129.47459790698485,1,128
6,36,68719476736,1024.0,764584,0.011393189430236816,89878.25632762391,0.001112616155296564,128,91.31428571428572,505.0353054080042,1,128
