chi_limit,chi_real,norm_exact,norm_MPS,overlap,fidelity
2,2,1.000000000000001,0.06127006879184077,0.3149505037458216,0.0991938198097468
4,4,1.000000000000001,0.17175733517300096,0.42810100933480183,0.18327047419347609
8,8,1.000000000000001,0.37107590064882867,0.6378140178383629,0.4068067213511155
16,16,1.000000000000001,0.663947992337147,0.8263652716038533,0.6828795621129102
32,32,1.000000000000001,0.877182928839972,0.9467849272733966,0.8964016985120908
64,64,1.000000000000001,0.9827630642565773,0.9926205149705142,0.9852954867403287
128,128,1.000000000000001,0.9997705528643042,0.9999005974382772,0.9998012047574236
